source,query,title,authors,year,doi,venue,url,relevance_score,notes
arxiv,,robot trains robot: automatic real-world policy adaptation and learning for humanoids,Kaizhe Hu; Haochen Shi; Yao He; Weizhuo Wang; C. Karen Liu; Shuran Song,2025,,arXiv,http://arxiv.org/abs/2508.12252v2,4,
crossref,robot adaptation drift,severity-aware drift adaptation for cost-efficient model maintenance,Shakhovska; Pukach,2025,10.3390/ai6110279,AI,https://doi.org/10.3390/ai6110279,4,
crossref,robot sim to real adaptation,sim-to-real domain adaptation with randomized data for autonomous driving,Harhammer; Müller; Graf; Stache,2025,10.1109/iavvc61942.2025.11219640,2025 IEEE International Automated Vehicle Validation Conference (IAVVC),https://doi.org/10.1109/iavvc61942.2025.11219640,4,
crossref,robot sim to real adaptation,sim-to-real reinforcement learning for local mobile robot navigation in dynamic environments,Salimpour; Peña-Queralta; Paez-Granados; Heikkonen; Westerlund,2025,10.1109/ecmr65884.2025.11163286,2025 European Conference on Mobile Robots (ECMR),https://doi.org/10.1109/ecmr65884.2025.11163286,4,
crossref,robot sim to real adaptation,sim-to-sim control of a ur3e robot using soft actor-critic and real-time matlab-ros-ursim integration,Iqdymat; Stamatescu,2025,10.1109/idaacs68557.2025.11322052,2025 IEEE 13th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),https://doi.org/10.1109/idaacs68557.2025.11322052,4,
crossref,embodied agent adaptation,simulation platform for embodied collaboration between human and robots,Liu; Liu; Huang; Guo,2025,10.1007/978-981-96-5871-8_7,"Machine Learning: Foundations, Methodologies, and Applications",https://doi.org/10.1007/978-981-96-5871-8_7,4,
crossref,robot adaptability physical drift,snow manipulation: adaptability and limitations of physical control of snow mold and frost damage in pastures,Shimoda,2025,10.21203/rs.3.rs-6229443/v1,,https://doi.org/10.21203/rs.3.rs-6229443/v1,4,
crossref,robot continual learning manipulation,streak: streaming network for continual learning of object relocations under household context drifts,Bartoli; Doğan; Leite,2025,10.1109/ro-man63969.2025.11217699,2025 34th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),https://doi.org/10.1109/ro-man63969.2025.11217699,4,
crossref,robot sim to real adaptation,style-aware and robust sim-to-real humanoid locomotion with contact-rich motion priors and online dynamics adaptation<sup>*</sup>,Zhang; Gan,2025,10.1109/wrcsara68202.2025.11195038,2025 WRC Symposium on Advanced Robotics and Automation (WRC SARA),https://doi.org/10.1109/wrcsara68202.2025.11195038,4,
crossref,robot adaptation drift,telosian: reducing false positives in real-time cyber anomaly detection by fast adaptation to concept drift,Maldonado; Meeuwissen; de Haan; van der Mei,2025,10.5220/0013320500003899,Proceedings of the 11th International Conference on Information Systems Security and Privacy,https://doi.org/10.5220/0013320500003899,4,
crossref,robot sim to real adaptation,unsupervised sim-to-real adaptation of soft robot proprioception using a dual cross-modal autoencoder,Park; Park; Kim,2025,10.1089/soro.2024.0025,Soft Robotics,https://doi.org/10.1089/soro.2024.0025,4,
crossref,robot sim to real adaptation,vr-robo: a real-to-sim-to-real framework for visual robot navigation and locomotion,Zhu; Mou; Li; Ye; Huang; Zhao,2025,10.1109/lra.2025.3575648,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3575648,4,
crossref,robot sim to real adaptation,vr-robo: a real-to-sim-to-real framework for visual robot navigation and locomotion_supp1-3575648.mp4,Zhu,2025,10.1109/lra.2025.3575648/mm1,,https://doi.org/10.1109/lra.2025.3575648/mm1,4,
crossref,robot sim to real adaptation,a lightweight physics-informed neural network for sim-to-real of biped robot,Liu; Zang; Zhang; Song; Chen; Zhao,2026,10.1109/lra.2025.3632659,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3632659,4,
arxiv,,ada3drift: adaptive training-time drifting for one-step 3d visuomotor robotic manipulation,Chongyang Xu; Yixian Zou; Ziliang Feng; Fanman Meng; Shuaicheng Liu,2026,,arXiv,http://arxiv.org/abs/2603.11984v1,4,
crossref,robot adaptation drift,"amplifying the good, muting the bad: a social amplifier model of embodied role adaptation in human-robot interaction",Liu; Patrick Rau,2026,10.1145/3811031,ACM Transactions on Human-Robot Interaction,https://doi.org/10.1145/3811031,4,
crossref,policy drift robotics,an end-to-end adaptive pipeline for drift-aware model retraining: integrating data drift detection and data quality validation,Wong; Chan; Khoo; Perumal,2026,10.1109/robothia68364.2026.11507075,2026 IEEE 2nd International Conference on Robotics and Technologies for Industrial Automation (ROBOTHIA),https://doi.org/10.1109/robothia68364.2026.11507075,4,
crossref,robot continual learning manipulation,bayesian forgetting in continual learning,Vallverdú,2026,10.2139/ssrn.6270324,,https://doi.org/10.2139/ssrn.6270324,4,
crossref,robot continual learning manipulation,binary and tri-state finger actions for robot learning robust in-hand manipulation skills,Bhattacharya; Akash; Adwani; Lu; Wang,2026,10.2139/ssrn.6438449,,https://doi.org/10.2139/ssrn.6438449,4,
crossref,robot continual learning manipulation,clare: continual learning for vision-language-action models via autonomous adapter routing and expansion_supp1-3693992.mp4,Romer,2026,10.1109/lra.2026.3693992/mm1,,https://doi.org/10.1109/lra.2026.3693992/mm1,4,
crossref,robot self calibration manipulation,co-manipulation sûre d’un robot de protonthérapie,; Baumeyer,2026,10.70675/da4b9bd5z4486z4e83z8323z02ab9dd64883,,https://doi.org/10.70675/da4b9bd5z4486z4e83z8323z02ab9dd64883,4,
arxiv,,continual hand-eye calibration for open-world robotic manipulation,Fazeng Li; Gan Sun; Chenxi Liu; Yao He; Wei Cong; Yang Cong,2026,,arXiv,http://arxiv.org/abs/2604.15814v1,4,
crossref,robot sim to real adaptation,continuous real-time adaptation framework for enhancing trust and technology acceptance: an assistive feeding study,Tsakona; Demiris,2026,10.1145/3758103,ACM Transactions on Human-Robot Interaction,https://doi.org/10.1145/3758103,4,
crossref,world model robot adaptation,cosmos-surg-dvrk: world foundation model-based automated online evaluation of surgical robot policy learning_supp1-3675962.mp4,Zbinden,2026,10.1109/lra.2026.3675962/mm1,,https://doi.org/10.1109/lra.2026.3675962/mm1,4,
arxiv,,cross: a continual robotic simulation suite for scalable reinforcement learning with high task diversity and realistic physics simulation,Yannick Denker; Alexander Gepperth,2026,,arXiv,http://arxiv.org/abs/2602.04868v1,4,
crossref,robot sim to real adaptation,differentiable physics-based sim-to-real adaptation on robotic iot edge nodes,Youm; Shin,2026,10.2139/ssrn.6550389,,https://doi.org/10.2139/ssrn.6550389,4,
crossref,robot sim to real adaptation,dual-robot engine assembly via sim-to-real reinforcement learning,Zhang; Yin; Sun; Wang,2026,10.1109/nnice68970.2026.11465621,"2026 6th International Conference on Neural Networks, Information and Communication Engineering (NNICE)",https://doi.org/10.1109/nnice68970.2026.11465621,4,
crossref,robot continual learning manipulation,efficient continual imitation learning with online meta-adapters,Zhu; Sun; Huang; Celiktutan,2026,10.1109/lra.2026.3682534,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2026.3682534,4,
crossref,embodied agent adaptation,embodied evolutionary self-adaptation to damage in multi-legged robots,Farghdani; Chhabra,2026,10.21203/rs.3.rs-9706251/v1,,https://doi.org/10.21203/rs.3.rs-9706251/v1,4,
crossref,robot self calibration manipulation,high-precision mobile robot calibration using self-reflective visual servoing,Forbech; Schou; Chrysostomou,2026,10.1108/ir-09-2025-0343,Industrial Robot: the international journal of robotics research and application,https://doi.org/10.1108/ir-09-2025-0343,4,
crossref,robot policy drift,institutional semantic drift: how policy language becomes decoupled from technological reality,O'Keefe,2026,10.35542/osf.io/fzne2_v1,,https://doi.org/10.35542/osf.io/fzne2_v1,4,
crossref,robot continual learning manipulation,intelligent robot manipulation requires self-directed learning,Chen; Sima; Chitta; Loquercio; Luo; Ma,2026,10.36227/techrxiv.176784220.09352802/v1,,https://doi.org/10.36227/techrxiv.176784220.09352802/v1,4,
arxiv,,learning diffusion policy from primitive skills for robot manipulation,Zhihao Gu; Ming Yang; Difan Zou; Dong Xu,2026,,arXiv,http://arxiv.org/abs/2601.01948v1,4,
crossref,robot sim to real adaptation,learning to distinguish the indistinguishable: volumetric meta-learning for fine-grained sim-to-real adaptation,Tao; Choi,2026,10.2139/ssrn.6361638,,https://doi.org/10.2139/ssrn.6361638,4,
crossref,robot sim to real adaptation,neuraltouch: neural descriptors for precise sim-to-real tactile robot control,Lin; Deng; Pu; Lu; Yang; Psomopoulou,2026,10.1109/tmech.2026.3687919,IEEE/ASME Transactions on Mechatronics,https://doi.org/10.1109/tmech.2026.3687919,4,
crossref,robot sim to real adaptation,neuraltouch: neural descriptors for precise sim-to-real tactile robot control_supp1-3687919.mp4,Lin,2026,10.1109/tmech.2026.3687919/mm1,,https://doi.org/10.1109/tmech.2026.3687919/mm1,4,
crossref,robot sim to real adaptation,p2maze: a protocol-paired sim-to-real robot maze navigation dataset for zero-shot transfer and few-shot adaptation,Pang; Cheng; Ni; Zhong,2026,10.1109/southeastcon63549.2026.11476499,SoutheastCon 2026,https://doi.org/10.1109/southeastcon63549.2026.11476499,4,
crossref,robot fault recovery manipulation,physical human-robot collaboration for object co-manipulation based on adaptable compliant control,; Mujica,2026,10.70675/5f846806zfb7ez460ez9245z58c38173894a,,https://doi.org/10.70675/5f846806zfb7ez460ez9245z58c38173894a,4,
crossref,dexterous manipulation adaptation,planning robotic in-hand manipulation to reproduce skilled dexterous manipulation tasks,; Hammoud,2026,10.70675/bf4f1352z2fddz454cz8f3ezebb41418497e,,https://doi.org/10.70675/bf4f1352z2fddz454cz8f3ezebb41418497e,4,
crossref,robot sim to real adaptation,real-time speech adaptation to human and robot audiences,Sodacı; Küntay,2026,10.1145/3776734.3794422,Companion Proceedings of the 21st ACM/IEEE International Conference on Human-Robot Interaction,https://doi.org/10.1145/3776734.3794422,4,
crossref,world model robot adaptation,real-world robot control by deep active inference with a temporally hierarchical world model,Fujii; Murata,2026,10.1109/lra.2025.3636032,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2025.3636032,4,
crossref,robot sim to real adaptation,spatio-temporal semantic-geometric consistent observations for deployable sim-to-real mobile robot navigation,Li; wang; Zhou; Luo; Liang,2026,10.2139/ssrn.6544050,,https://doi.org/10.2139/ssrn.6544050,4,
crossref,robot continual learning manipulation,speci: skill prompts based hierarchical continual imitation learning for robot manipulation,Xu; Nie,2026,10.1109/tcds.2025.3610492,IEEE Transactions on Cognitive and Developmental Systems,https://doi.org/10.1109/tcds.2025.3610492,4,
crossref,robot adaptation drift,xcare: explainable continual adaptation and remediation engine via agentic rag for concept drift in intelligent tutoring systems,Loussaief; Yanes,2026,10.5220/0015087100004021,Proceedings of the 18th International Conference on Computer Supported Education,https://doi.org/10.5220/0015087100004021,4,
crossref,robot adaptability physical drift,another ether-drift experiment,Kennedy,1922,10.1103/physrev.20.26,Physical Review,https://doi.org/10.1103/physrev.20.26,3,
crossref,robot adaptability physical drift,note on ether-drift experiments,Rosen,1940,10.1103/physrev.57.154,Physical Review,https://doi.org/10.1103/physrev.57.154,3,
crossref,robot policy drift,the drift towards a rational foreign exchange policy,Balogh,1940,10.2307/2549743,Economica,https://doi.org/10.2307/2549743,3,
crossref,robot adaptability physical drift,experimental confirmation of relation between pulse drift mobility and charge carrier drift mobility in germanium,Prince,1953,10.1103/physrev.91.271,Physical Review,https://doi.org/10.1103/physrev.91.271,3,
crossref,robot adaptability physical drift,ether drift and gravitational motion,Szekeres,1956,10.1103/physrev.104.1791,Physical Review,https://doi.org/10.1103/physrev.104.1791,3,
crossref,robot policy drift,ix. the drift toward war,,1958,10.1525/9780520350472-010,"Russian Far Eastern Policy, 1881–1904",https://doi.org/10.1525/9780520350472-010,3,
crossref,robot adaptability physical drift,determination of physical parameters of drift transistors having a diffused collector junction,BOOTHROYD,1961,10.21236/ad0274237,,https://doi.org/10.21236/ad0274237,3,
crossref,robot lifelong learning manipulation,the idea of lifelong learning,JESSUP,1969,10.1016/b978-0-08-013406-2.50005-5,Lifelong Learning,https://doi.org/10.1016/b978-0-08-013406-2.50005-5,3,
crossref,robot calibration drift,"calibration, calibration drift and specimen interaction in autoanalyser systems",Bennet; Gartelmann; Mason; Owen,1970,10.1016/0009-8981(70)90238-x,Clinica Chimica Acta,https://doi.org/10.1016/0009-8981(70)90238-x,3,
crossref,robot adaptability physical drift,madagascar: southward drift?,,1971,10.1038/physci234043b0,Nature Physical Science,https://doi.org/10.1038/physci234043b0,3,
crossref,robot adaptability physical drift,palaeomagnetism: pre-mesozoic drift?,,1971,10.1038/physci231047a0,Nature Physical Science,https://doi.org/10.1038/physci231047a0,3,
crossref,robot adaptability physical drift,clay mineralogy of the north sea drift,KAZI,1972,10.1038/physci240061a0,Nature Physical Science,https://doi.org/10.1038/physci240061a0,3,
crossref,robot adaptability physical drift,is continental drift sacrosanct?,,1972,10.1038/physci239137a0,Nature Physical Science,https://doi.org/10.1038/physci239137a0,3,
crossref,robot adaptability physical drift,nonthermal causes of continental drift,,1972,10.1038/physci237001a0,Nature Physical Science,https://doi.org/10.1038/physci237001a0,3,
crossref,robot calibration drift,designs for the calibration of small groups of standards in the presence of drift,Cameron,1974,10.6028/nbs.tn.844,,https://doi.org/10.6028/nbs.tn.844,3,
crossref,robot policy drift,"a sense of drift, a time for calm",Holbrooke,1976,10.2307/1147873,Foreign Policy,https://doi.org/10.2307/1147873,3,
crossref,robot adaptability physical drift,analytical theory of drift waves and drift-alfvén waves in tokamaks,Lee; Chen,1979,10.1103/physrevlett.42.708,Physical Review Letters,https://doi.org/10.1103/physrevlett.42.708,3,
crossref,robot adaptability physical drift,"critical conditions for drift, drift-alfvén and drift-tearing instabilities of finite-β plasma in sheared magnetic field",Inoue; Itoh; Yoshikawa,1980,10.1143/jpsj.48.973,Journal of the Physical Society of Japan,https://doi.org/10.1143/jpsj.48.973,3,
crossref,robot skill retention,effects of training schedule and equipment variety on retention and transfer of maintenance skill,Hagman,1980,10.21236/ada120167,,https://doi.org/10.21236/ada120167,3,
crossref,robot skill retention,effects of training task repetition on retention and transfer of maintenance skill,Hagman,1980,10.21236/ada101859,,https://doi.org/10.21236/ada101859,3,
crossref,robot policy drift,policy drift: an evaluation of the california business enterprise program,Kress; Koehler,1980,10.1111/j.1541-0072.1980.tb00898.x,Policy Studies Journal,https://doi.org/10.1111/j.1541-0072.1980.tb00898.x,3,
crossref,robot fault recovery manipulation,fault isolation and recovery,Clark,1982,10.17487/rfc816,,https://doi.org/10.17487/rfc816,3,
crossref,robot policy drift,africa: a drift or a wash?,,1983,10.1093/spp/10.2.89,Science and Public Policy,https://doi.org/10.1093/spp/10.2.89,3,
crossref,robot skill aging,musical skill level self-evaluation in non-institutionalized elderly,Gibbons,1983,10.1300/j016v03n02_10,"Activities, Adaptation &amp; Aging",https://doi.org/10.1300/j016v03n02_10,3,
crossref,robot skill retention,use of self assessments in estimating levels of skill retention,Schendel; Morey; Granier; Hall,1983,10.21236/ada141042,,https://doi.org/10.21236/ada141042,3,
crossref,robot policy drift,the astronaut and the robot,Lebeau,1987,10.1016/0265-9646(87)90069-5,Space Policy,https://doi.org/10.1016/0265-9646(87)90069-5,3,
crossref,robot calibration drift,scale drift in on-line calibration,Stocking,1988,10.21236/ada196439,,https://doi.org/10.21236/ada196439,3,
crossref,robot skill retention,application of ari skill retention model to wheel vehicle maintenance tasks,Macpherson; Patterson; Mirabella,1989,10.21236/ada219684,,https://doi.org/10.21236/ada219684,3,
crossref,robot adaptability physical drift,development of biped robot,Furusho; Sano,1991,10.1016/s0166-4115(08)60746-3,Advances in Psychology,https://doi.org/10.1016/s0166-4115(08)60746-3,3,
crossref,robot policy drift,drift-net fishing in the south pacific,Wright; Doulman,1991,10.1016/0308-597x(91)90081-l,Marine Policy,https://doi.org/10.1016/0308-597x(91)90081-l,3,
crossref,robot policy drift,resolution of the 29th south pacific conference concerning pelagic drift-net fishing in the south pacific commission area,,1991,10.1016/0308-597x(91)90083-n,Marine Policy,https://doi.org/10.1016/0308-597x(91)90083-n,3,
crossref,robot calibration drift,robot calibration for off‐line programming,Berg,1991,10.1108/eb004558,Industrial Robot: An International Journal,https://doi.org/10.1108/eb004558,3,
crossref,world model robot adaptation,the oxford robot world model,Triggs; Cameron,1991,10.1007/978-3-642-76465-3_16,Expert Systems and Robotics,https://doi.org/10.1007/978-3-642-76465-3_16,3,
crossref,policy drift robotics,geometry and prediction of drift-free trajectories for redundant machines under pseudoinverse control,Bay,1992,10.1177/027836499201100103,The International Journal of Robotics Research,https://doi.org/10.1177/027836499201100103,3,
crossref,robot adaptability physical drift,performance of a neuro-model-based robot controller: adaptability and noise rejection,Poo; Ang; Teo; Li,1992,10.1049/ise.1992.0005,Intelligent Systems Engineering,https://doi.org/10.1049/ise.1992.0005,3,
crossref,robot skill aging,self-judged comprehension in adults: effects of age and skill,Moore; Zabrucky,1992,10.1080/03610739208253904,Experimental Aging Research,https://doi.org/10.1080/03610739208253904,3,
crossref,robot robustness manipulation,adaptive control of robot manipulators: design and robustness,Spong,1993,10.23919/acc.1993.4793413,1993 American Control Conference,https://doi.org/10.23919/acc.1993.4793413,3,
crossref,robot adaptability physical drift,suppression method of disturbance torque due to system drift via an observer in the robot control systems,,1993,10.1016/0967-0661(93)92312-r,Control Engineering Practice,https://doi.org/10.1016/0967-0661(93)92312-r,3,
crossref,robot online adaptation manipulation,118 force/position regulation of robot manipulation with gravity parameter adaptation,,1994,10.1016/0967-0661(94)90470-7,Control Engineering Practice,https://doi.org/10.1016/0967-0661(94)90470-7,3,
crossref,robot adaptation drift,adaptation of a commercial robot for genome library replication,Uber; Searles,1994,10.2172/10140910,,https://doi.org/10.2172/10140910,3,
crossref,world model robot adaptation,biological identity adaptation to environment as a model for social science,Nunez,1994,10.1080/02604027.1994.9972496,World Futures,https://doi.org/10.1080/02604027.1994.9972496,3,
crossref,robot calibration drift,eye in hand robot calibration,van Albada; Lagerberg; Visser,1994,10.1108/eum0000000004168,Industrial Robot: An International Journal,https://doi.org/10.1108/eum0000000004168,3,
crossref,robot fault recovery manipulation,fault-tolerance and error recovery in an autonomous robot with distributed controlled components,Lueth; Laengle,1994,10.1007/978-4-431-68275-2_5,Distributed Autonomous Robotic Systems,https://doi.org/10.1007/978-4-431-68275-2_5,3,
crossref,world model robot adaptation,introduction to roy adaptation model,Akinsanya,1994,10.1007/978-1-349-12896-9_2,The Roy Adaptation Model in Action,https://doi.org/10.1007/978-1-349-12896-9_2,3,
crossref,robot calibration drift,on vision-based robot calibration,Hanqi Huang; Roth,1994,10.1109/southc.1994.498083,Conference Record Southcon,https://doi.org/10.1109/southc.1994.498083,3,
crossref,robot calibration drift,robocal—the ipk robot calibration package,Schroer,1994,10.1108/eum0000000004172,Industrial Robot: An International Journal,https://doi.org/10.1108/eum0000000004172,3,
crossref,world model robot adaptation,use of roy adaptation model in practice,Akinsanya,1994,10.1007/978-1-349-12896-9_3,The Roy Adaptation Model in Action,https://doi.org/10.1007/978-1-349-12896-9_3,3,
crossref,robot lifelong learning manipulation,a lifelong learning perspective for mobile robot control,Thrun,1995,10.1016/b978-044482250-5/50015-3,Intelligent Robots and Systems,https://doi.org/10.1016/b978-044482250-5/50015-3,3,
crossref,robot fault recovery manipulation,alliance: an architecture for fault tolerant multi-robot cooperation,Parker,1995,10.2172/34318,,https://doi.org/10.2172/34318,3,
crossref,robot skill retention,optimizing the long-term retention of skills: structural and analytic approaches to skill maintenance.,Healey,1995,10.21236/ada293798,,https://doi.org/10.21236/ada293798,3,
crossref,dexterous manipulation adaptation,hands for dexterous manipulation and powerful grasping: a difficult road towards simplicity,Biechi,1996,10.1007/978-1-4471-1021-7_2,Robotics Research,https://doi.org/10.1007/978-1-4471-1021-7_2,3,
crossref,robot lifelong learning manipulation,learning more from less data: experiments with lifelong robot learning,Thrun,1996,10.1049/ic:19960152,IEE Colloquium on Self Learning Robots,https://doi.org/10.1049/ic:19960152,3,
crossref,robot adaptation drift,microevolutionary processes in euglena pisciformis. genetic drift or adaptation?,Zakryś,1996,10.1127/algol_stud/81/1996/23,"Algological Studies/Archiv für Hydrobiologie, Supplement Volumes",https://doi.org/10.1127/algol_stud/81/1996/23,3,
crossref,robot calibration drift,the calibration index and the role of input noise in robot calibration,Hollerbach; Wampler,1996,10.1007/978-1-4471-0765-1_62,Robotics Research,https://doi.org/10.1007/978-1-4471-0765-1_62,3,
crossref,robot skill retention,optimizing the long-term retention of skills: structural and analytic approaches to skill maintenance,Healy,1997,10.21236/ada336077,,https://doi.org/10.21236/ada336077,3,
crossref,robot calibration drift,robot calibration. a review of robot calibration.,Ishii,1997,10.7210/jrsj.15.164,Journal of the Robotics Society of Japan,https://doi.org/10.7210/jrsj.15.164,3,
crossref,robot continual learning manipulation,continual robot learning with constructive neural networks,Großmann; Poli,1998,10.1007/3-540-49240-2_7,Lecture Notes in Computer Science,https://doi.org/10.1007/3-540-49240-2_7,3,
crossref,robot skill retention,moderators of skill retention interval-performance decrement relationships: implications for skill maintenance,Lance; Parisi; Bennett; Jr.; Mark; Donald L.,1998,10.21236/ada368456,,https://doi.org/10.21236/ada368456,3,
crossref,robot calibration drift,robot metrology and calibration systems ‐ a market review,Hidalgo; Brunn,1998,10.1108/01439919810196955,Industrial Robot: An International Journal,https://doi.org/10.1108/01439919810196955,3,
crossref,policy drift robotics,steering of drift-free nonholonomic systems under a discrete levels control constraint,Skiadas; Koussoulas,1998,10.1061/40337(205)33,Robotics 98,https://doi.org/10.1061/40337(205)33,3,
crossref,robot calibration drift,automatic calibration assures robot welding accuracy,,2000,10.1108/ir.2000.04927faf.007,Industrial Robot: An International Journal,https://doi.org/10.1108/ir.2000.04927faf.007,3,
crossref,robot calibration drift,calibration for wafer transfer robot,Hollingum,2000,10.1108/ir.2000.04927fad.016,Industrial Robot: An International Journal,https://doi.org/10.1108/ir.2000.04927fad.016,3,
crossref,robot calibration drift,item calibration and parameter drift,Glas,2000,10.1007/0-306-47531-6_10,Computerized Adaptive Testing: Theory and Practice,https://doi.org/10.1007/0-306-47531-6_10,3,
crossref,robot fault recovery manipulation,manipulation of sheet metal by dual manipulators,Yoshida; Kosuge,2000,10.1007/978-1-4471-0749-1_10,Advanced Manufacturing,https://doi.org/10.1007/978-1-4471-0749-1_10,3,
crossref,robot calibration drift,robot calibration system,Hollingum,2000,10.1108/ir.2000.04927fad.015,Industrial Robot: An International Journal,https://doi.org/10.1108/ir.2000.04927fad.015,3,
crossref,robot lifelong learning manipulation,transferring learned knowledge in a lifelong learning mobile robot agent,O'SULLIVAN,2000,10.1142/9789812792747_0006,World Scientific Series in Robotics and Intelligent Systems,https://doi.org/10.1142/9789812792747_0006,3,
crossref,robot policy drift,economic policy: assessment and options,Menkhoff; Tolksdorf,2001,10.1007/978-3-642-56581-6_5,Financial Market Drift,https://doi.org/10.1007/978-3-642-56581-6_5,3,
crossref,robot adaptation drift,outdoor mobile robot learning and adaptation,Hagras; Callaghan; Collry,2001,10.1109/100.956814,IEEE Robotics &amp; Automation Magazine,https://doi.org/10.1109/100.956814,3,
crossref,robot lifelong learning manipulation,pedagogies for lifelong learning,,2001,10.4324/9780203996287-17,Supporting Lifelong Learning,https://doi.org/10.4324/9780203996287-17,3,
crossref,embodied agent adaptation,self‐adaptation for performance optimisation in an agent‐based information system,Gerber,2001,10.1002/0470841818.ch10,Agent Technology for Communication Infrastructures,https://doi.org/10.1002/0470841818.ch10,3,
crossref,robot policy drift,the drift of biological weapons policy,Balmer,2001,10.1057/9780230508095_7,Britain and Biological Warfare,https://doi.org/10.1057/9780230508095_7,3,
crossref,robot fault recovery manipulation,3d manipulation with force feedback,,2002,10.1108/ir.2002.04929ead.010,Industrial Robot: An International Journal,https://doi.org/10.1108/ir.2002.04929ead.010,3,
crossref,robot adaptation drift,analog vlsi circuits for visual motion-based adaptation of post-saccadic drift,Horiuchi; Koch,2002,10.1109/mnnfs.1996.493773,Proceedings of Fifth International Conference on Microelectronics for Neural Networks,https://doi.org/10.1109/mnnfs.1996.493773,3,
crossref,world model robot adaptation,building a 3d world model with a mobile robot: 3d line segment representation and integration,Zhang; Faugeras,2002,10.1109/icpr.1990.118061,[1990] Proceedings. 10th International Conference on Pattern Recognition,https://doi.org/10.1109/icpr.1990.118061,3,
crossref,policy drift robotics,drift-free attitude estimation for accelerated rigid bodies,Rehbinder; Xiaoming Hu,2002,10.1109/robot.2001.933281,Proceedings 2001 ICRA. IEEE International Conference on Robotics and Automation (Cat. No.01CH37164),https://doi.org/10.1109/robot.2001.933281,3,
crossref,robot lifelong learning manipulation,lifelong learning trajectories,,2002,10.46692/9781847425461.003,Creating a Learning Society?,https://doi.org/10.46692/9781847425461.003,3,
crossref,robot lifelong learning manipulation,"lifelong learning, lifelong learning, lifelong learning",Edwards,2002,10.4324/9780203183328-1,Lifelong Learning,https://doi.org/10.4324/9780203183328-1,3,
crossref,dexterous manipulation adaptation,manipulation skill modeling for dexterous hands,Buss; Hashimoto,2002,10.1109/robot.1994.351047,Proceedings of the 1994 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1994.351047,3,
crossref,policy drift robotics,measure of joint path drift for kinematically redundant robots,Luo; Ahmad,2002,10.1109/robot.1991.131766,Proceedings. 1991 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1991.131766,3,
crossref,robot fault recovery manipulation,mechanics of robot manipulation,Rigelsford,2002,10.1108/ir.2002.04929aae.002,Industrial Robot: An International Journal,https://doi.org/10.1108/ir.2002.04929aae.002,3,
crossref,policy drift robotics,motion planning for controllable systems without drift,Lafferriere; Sussmann,2002,10.1109/robot.1991.131763,Proceedings. 1991 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1991.131763,3,
crossref,world model robot adaptation,sensor-based learning of environment model and path planning with a nomad 200 mobile robot,Araujo; de Almeida,2002,10.1109/iros.1997.655064,Proceedings of the 1997 IEEE/RSJ International Conference on Intelligent Robot and Systems. Innovative Robotics for Real-World Applications. IROS '97,https://doi.org/10.1109/iros.1997.655064,3,
crossref,dexterous manipulation adaptation,simulations of dexterous manipulation for multifingered systems,Wen-Yeuan Chung; Waldron,2002,10.1109/robot.1994.350939,Proceedings of the 1994 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1994.350939,3,
crossref,robot policy drift,unified control of contact and joint space drift in multifingered robot hands,Kapitanovsky; Mills; Goldenberg,2002,10.1109/isic.1993.397711,Proceedings of 8th IEEE International Symposium on Intelligent Control,https://doi.org/10.1109/isic.1993.397711,3,
crossref,world model robot adaptation,building a 3d world model for mobile robot from sensory data,Asada,2003,10.1109/robot.1988.12177,Proceedings. 1988 IEEE International Conference on Robotics and Automation,https://doi.org/10.1109/robot.1988.12177,3,
crossref,world model robot adaptation,dynamic tracking control of nonholonomic mobile robot with model reference adaptation for uncertain parameters,Gholipour; Yazdanpanah,2003,10.23919/ecc.2003.7086518,2003 European Control Conference (ECC),https://doi.org/10.23919/ecc.2003.7086518,3,
crossref,robot adaptability physical drift,establishing the reliability of using the cross cultural adaptability inventory with physical therapist students,Kraemer; Beckstead,2003,10.1097/00001416-200301000-00005,Journal of Physical Therapy Education,https://doi.org/10.1097/00001416-200301000-00005,3,
crossref,robot lifelong learning manipulation,evolving practice of lifelong learning,,2003,10.4324/9780203464717-5,Making Sense of Lifelong Learning,https://doi.org/10.4324/9780203464717-5,3,
crossref,robot fault recovery manipulation,fault detection and robust fault recovery control for robot manipulators with actuator failures,Jin-Ho Shin; Ju-Jang Lee,2003,10.1109/robot.1999.772398,Proceedings 1999 IEEE International Conference on Robotics and Automation (Cat. No.99CH36288C),https://doi.org/10.1109/robot.1999.772398,3,
crossref,world model robot adaptation,mobile robot localization using a fuzzy art world model,Araujo; Gouveia; Santos,2003,10.1109/iecon.2002.1185350,IEEE 2002 28th Annual Conference of the Industrial Electronics Society. IECON 02,https://doi.org/10.1109/iecon.2002.1185350,3,
